trade_month,industry,ret,n_stocks
2019-01,801880.SI,0.008524378749989792,171
2019-01,801890.SI,0.013863220002673815,319
2019-01,801950.SI,0.07414981513267849,38
2019-01,801960.SI,0.044949036179905644,43
2019-01,801970.SI,-0.05133301406579138,71
2019-01,801980.SI,-0.012644500148747406,15
2019-02,801010.SI,0.2371893755424075,94
2019-02,801030.SI,0.198313770638197,287
2019-02,801040.SI,0.13674274593728386,31
2019-02,801050.SI,0.22530968132188312,116
2019-02,801080.SI,0.28972859295152587,228
2019-02,801110.SI,0.11398479243686932,64
2019-02,801120.SI,0.12087722055653738,89
2019-02,801130.SI,0.15804331561285045,83
2019-02,801140.SI,0.1936049376944149,121
2019-02,801150.SI,0.21760307413141367,291
2019-02,801160.SI,0.10528564848322741,96
2019-02,801170.SI,0.15170141935103598,113
2019-02,801180.SI,0.14238675150808278,127
2019-02,801200.SI,0.17633121804471963,99
2019-02,801210.SI,0.17928883261382933,35
2019-02,801230.SI,0.233567823757721,43
2019-02,801710.SI,0.15411271074176258,70
2019-02,801720.SI,0.12932795133809205,124
2019-02,801730.SI,0.17460857868399393,190
2019-02,801740.SI,0.22082312638895418,52
2019-02,801750.SI,0.2892599815600756,202
2019-02,801760.SI,0.2554879275297566,150
2019-02,801770.SI,0.31329585474059307,104
2019-02,801780.SI,0.05324904555570087,30
2019-02,801790.SI,0.24518906737741397,71
2019-02,801880.SI,0.14820090120303342,171
2019-02,801890.SI,0.19343410999394273,319
2019-02,801950.SI,0.0933393104013851,38
2019-02,801960.SI,0.07868177784620078,43
2019-02,801970.SI,0.22212018303358372,71
2019-02,801980.SI,0.19160119669416664,15
2019-03,801010.SI,0.1876782842847462,94
2019-03,801030.SI,0.11947645804408569,288
2019-03,801040.SI,0.008375862516297516,31
2019-03,801050.SI,0.03673414651189044,116
2019-03,801080.SI,0.09141438255906564,228
2019-03,801110.SI,0.09608768176800409,64
2019-03,801120.SI,0.1708874379541825,89
2019-03,801130.SI,0.12184210190287725,83
2019-03,801140.SI,0.16872672011277423,122
2019-03,801150.SI,0.12011175489409931,293
