date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2024-12-23,675647.91,294789.80,279291.05,180000.00
2025-01-06,638800.92,282093.58,267603.99,201408.45
2025-01-20,678047.11,285388.26,271914.28,207605.63
2025-01-27,689972.43,285935.66,271019.93,202253.52
2025-02-17,716393.92,295192.01,280272.76,196619.72
2025-03-03,734911.19,291769.84,276089.01,197746.48
2025-03-17,791243.27,301375.78,283779.50,
2025-03-31,765921.06,293425.40,276006.07,212957.75
2025-04-14,726448.63,287009.42,266906.22,225352.11
2025-04-28,739796.85,289261.93,268502.10,209859.15
2025-05-12,803899.07,296372.04,276240.66,215774.65
2025-05-26,808582.34,294401.15,274074.89,224788.73
2025-06-09,840335.01,299057.33,275859.82,225070.42
2025-06-23,812866.90,297457.26,273918.33,232957.75
2025-07-07,813293.81,305509.96,281534.91,232957.75
2025-07-21,1085713.58,313133.28,290085.86,230704.23
2025-08-04,1098371.13,315201.98,289027.58,236056.34
2025-08-18,1095271.95,327931.99,301006.32,231267.61
2025-09-01,1123448.57,340906.95,321192.06,246478.87
2025-09-15,1126877.40,339585.13,321855.55,240000.00
2025-09-29,1117406.45,339763.53,328032.51,230985.92
2025-10-13,1123871.77,342135.96,326181.18,237183.10
2025-10-27,1157090.18,351587.01,334846.26,292957.75
2025-11-10,1195452.51,353491.67,333357.50,306197.18
2025-11-24,1122642.18,337497.03,315819.83,284225.35
2025-12-08,1159969.92,345177.37,328153.33,371830.99
2025-12-22,1173286.49,344586.78,327434.01,378309.86
2025-12-31,1180938.14,349114.84,328734.48,368169.01
