date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2024-05-27,774117.24,274803.12,258142.15,183098.59
2024-06-07,700879.86,268402.51,253768.89,171267.61
2024-06-24,668464.73,260645.87,246860.12,156338.03
2024-07-08,663394.82,257070.22,241531.44,156338.03
2024-07-22,669906.14,260744.09,249566.33,157746.48
2024-08-05,680661.99,251638.27,237382.09,162816.90
2024-08-19,686429.56,254538.97,238351.07,163380.28
2024-09-02,682022.01,247269.73,231821.97,156338.03
2024-09-13,658236.73,237862.39,224312.53,152112.68
2024-09-30,801977.82,293491.48,285275.29,181971.83
2024-10-14,770422.32,288901.97,281262.82,179718.31
2024-10-28,846752.59,292233.60,281462.65,181408.45
2024-11-11,910685.71,305240.67,293318.15,191549.30
2024-11-25,882549.60,287093.18,273221.75,184507.04
2024-12-09,988919.90,299300.34,281634.05,190985.92
2024-12-23,928624.72,294789.80,279291.05,180000.00
2025-01-06,871045.84,282093.58,267603.99,201408.45
2025-01-20,932499.75,285388.26,271914.28,207605.63
2025-01-27,935686.33,285935.66,271019.93,202253.52
2025-02-17,977968.40,295192.01,280272.76,196619.72
2025-03-03,993222.26,291769.84,276089.01,197746.48
2025-03-17,1056117.24,301375.78,283779.50,
2025-03-31,1022944.78,293425.40,276006.07,212957.75
2025-04-14,970601.36,287009.42,266906.22,225352.11
2025-04-28,986050.39,289261.93,268502.10,209859.15
2025-05-12,1061350.64,296372.04,276240.66,215774.65
2025-05-26,1076604.94,294401.15,274074.89,224788.73
2025-06-09,1120620.45,299057.33,275859.82,225070.42
2025-06-23,1082779.34,297457.26,273918.33,232957.75
2025-07-07,1095732.82,305509.96,281534.91,232957.75
2025-07-21,1406971.69,313133.28,290085.86,230704.23
2025-08-04,1425102.47,315201.98,289027.58,236056.34
2025-08-18,1430454.06,327931.99,301006.32,231267.61
2025-09-01,1463355.01,340906.95,321192.06,246478.87
2025-09-15,1466197.92,339585.13,321855.55,240000.00
2025-09-29,1446157.23,339763.53,328032.51,230985.92
2025-10-13,1452819.30,342135.96,326181.18,237183.10
2025-10-27,1499379.88,351587.01,334846.26,292957.75
2025-11-10,1541850.95,353491.67,333357.50,306197.18
2025-11-24,1446782.81,337497.03,315819.83,284225.35
2025-12-08,1495862.35,345177.37,328153.33,371830.99
2025-12-22,1505010.74,344586.78,327434.01,378309.86
2025-12-31,1515628.81,349114.84,328734.48,368169.01
