date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000905.SZ,excess_000905.SZ
2024-10-28,-0.00203784,67,0.01153206,-0.01356990,0.00940439,-0.01144223
2024-11-11,0.06611628,79,0.04450915,0.02160713,0.05590062,0.01021566
2024-11-25,-0.05264988,86,-0.05945305,0.00680318,-0.03676471,-0.01588517
2024-12-09,0.06852102,85,0.04251986,0.02600116,0.03511450,0.03340652
2024-12-23,-0.05209889,82,-0.01507030,-0.03702859,-0.05752212,0.00542324
2025-01-06,-0.06659281,78,-0.04306870,-0.02352410,0.11893584,-0.18552864
2025-01-20,0.03249604,69,0.01167936,0.02081668,0.03076923,0.00172681
2025-01-27,0.00861873,74,0.00191812,0.00670061,-0.02578019,0.03439892
2025-02-17,-0.00238656,82,0.03237214,-0.03475870,-0.02785515,0.02546860
2025-03-03,0.00312022,72,-0.01159305,0.01471327,0.00573066,-0.00261044
2025-03-17,0.03727686,61,0.03292302,0.00435384,0.00000000,0.03727686
2025-03-31,0.00375956,89,-0.02638030,0.03013986,0.07692308,-0.07316352
2025-04-14,-0.02681544,78,-0.02186578,-0.00494966,0.05820106,-0.08501650
2025-04-28,0.02505525,76,0.00784821,0.01720704,-0.06875000,0.09380525
2025-05-12,0.05430959,86,0.02458017,0.02972942,0.02818792,0.02612167
2025-05-26,0.01282147,87,-0.00665007,0.01947154,0.04177546,-0.02895398
2025-06-09,0.02696043,86,0.01581576,0.01114467,0.00125313,0.02570730
2025-06-23,-0.01751809,80,-0.00535036,-0.01216773,0.03504380,-0.05256190
2025-07-07,0.05426036,83,0.02707180,0.02718856,0.00000000,0.05426036
2025-07-21,0.04050523,88,0.02495276,0.01555247,-0.00967352,0.05017874
2025-08-04,0.00723798,83,0.00660645,0.00063153,0.02319902,-0.01596104
2025-08-18,0.02811262,83,0.04038683,-0.01227422,-0.02028640,0.04839901
2025-09-01,0.01015096,80,0.03956599,-0.02941503,0.06577345,-0.05562249
2025-09-15,0.00152810,86,-0.00387735,0.00540545,-0.02628571,0.02781381
2025-09-29,-0.01992025,72,0.00052535,-0.02044559,-0.03755869,0.01763844
2025-10-13,0.00785566,70,0.00698260,0.00087306,0.02682927,-0.01897361
2025-10-27,0.01456141,76,0.02762366,-0.01306225,0.23515439,-0.22059298
2025-11-10,0.01959510,70,0.00541731,0.01417779,0.04519231,-0.02559721
2025-11-24,-0.04824726,79,-0.04524756,-0.00299971,-0.07175713,0.02350987
2025-12-08,0.03621338,89,0.02275675,0.01345664,0.30822597,-0.27201258
2025-12-22,-0.00791686,78,-0.00171098,-0.00620588,0.01742424,-0.02534110
2025-12-31,0.00468806,78,0.01314055,-0.00845248,-0.02680566,0.03149372
