date,mom_12_1,rev_10,rvol_20,vol_confirm,inv_pb,log_cap,pe_ttm,roe_ttm,turnover_20,mom_3_1,mom_6_1,ret_5d_std,volume_chg,high_low_20,close_to_high_60,dv_ttm,roa_ttm,gross_margin,low_leverage,growth_revenue,growth_profit,illiq_20
2018-12-28,-0.03400113,-0.02444231,-0.01675058,-0.01682157,-0.05183245,-0.03152880,-0.01897879,-0.02875649,-0.01675994,-0.02613635,-0.03098214,-0.02100317,-0.02445629,-0.02597337,-0.03055235,-0.03096919,-0.02680512,-0.02730493,-0.02809844,-0.03341255,-0.03704390,-0.03237667
2019-01-31,0.00774495,0.00773706,0.00566477,0.00607051,0.01256446,0.00909562,0.00486716,0.00841968,0.00496855,0.00688578,0.00776569,0.00716954,0.00795543,0.00617347,0.00873752,0.00830462,0.00804271,0.00873391,0.00746616,0.00929552,0.00951256,0.00809460
2019-02-28,0.10504854,0.03693205,0.03696094,0.06941343,0.10846726,0.10766014,0.03220249,0.10577811,0.03949402,0.08582106,0.08539072,0.05415313,0.07743500,0.03269105,0.10244281,0.10867528,0.09677837,0.08529772,0.07361957,0.09427153,0.10193797,0.05131378
2019-03-29,0.06556020,0.04594677,0.01718114,0.03774256,0.05994159,0.06636286,0.01921985,0.06492235,0.01966716,0.04154851,0.03918579,0.02656172,0.04005112,0.01921001,0.06640153,0.06337889,0.05612152,0.04998409,0.03700023,0.05355020,0.06071131,0.02585320
2019-04-30,0.00291393,0.00293290,0.00162003,0.00188137,0.00299944,0.00330372,0.00101979,0.00333196,0.00130222,0.00196138,0.00195107,0.00141675,0.00245627,0.00134758,0.00332990,0.00278959,0.00308130,0.00239756,0.00197855,0.00288828,0.00305841,0.00141824
2019-05-31,-0.04474426,-0.03104108,-0.02134427,-0.02600054,-0.03901436,-0.04804429,-0.01606142,-0.04776613,-0.02229451,-0.04008696,-0.03886017,-0.02217874,-0.04158393,-0.02423358,-0.04698994,-0.03817295,-0.04301543,-0.03623142,-0.03163212,-0.04121453,-0.04327700,-0.01962949
2019-06-28,0.00084475,0.00071978,0.00039925,0.00081060,0.00079486,0.00097699,0.00034021,0.00093840,0.00037643,0.00083733,0.00074962,0.00039432,0.00068352,0.00047756,0.00098155,0.00073331,0.00080794,0.00069037,0.00056928,0.00087948,0.00091004,0.00034910
2019-07-31,0.00455932,0.00428134,0.00205854,0.00324615,0.00403062,0.00530519,0.00192158,0.00496127,0.00221923,0.00412357,0.00388388,0.00339536,0.00391364,0.00177697,0.00516432,0.00367473,0.00423004,0.00350593,0.00301261,0.00462129,0.00479606,0.00179130
2019-08-30,-0.01871929,-0.01382516,-0.00844881,-0.01177279,-0.01524251,-0.02192936,-0.00792410,-0.01994817,-0.00862839,-0.01799356,-0.01972050,-0.00987346,-0.01425190,-0.00938851,-0.01931983,-0.01498997,-0.01599163,-0.01398895,-0.01186820,-0.01880528,-0.01900498,-0.00685232
2019-09-30,-0.00169032,-0.00177968,-0.00075219,-0.00109532,-0.00149565,-0.00207186,-0.00069322,-0.00203478,-0.00071757,-0.00160904,-0.00178979,-0.00076440,-0.00096714,-0.00071015,-0.00193863,-0.00145737,-0.00166603,-0.00134508,-0.00115560,-0.00178986,-0.00187627,-0.00067654
