date,ts_code,direction,price,shares,amount,commission,status,reason,total_mv,circ_mv,sw_l1,sw_l2,name,market,industry,total_mv_yi,circ_mv_yi,year,total_mv_bucket,circ_mv_bucket
20180129,603686.SH,SELL,23.904090000000004,400,9561.636000000002,1.4342454000000002,FILLED,,716454.6663,642537.63,801970.SI,801972.SI,福龙马,主板,环境保护,71.64546663,64.253763,2018,50-100亿,50-100亿
20180129,603117.SH,BUY,8.803185,400,3521.2739999999994,0.5281910999999999,FILLED,,406380.0992,247652.8274,801170.SI,801178.SI,万林物流,主板,仓储物流,40.63800992,24.76528274,2018,<50亿,<50亿
20180129,600313.SH,BUY,3.134695,600,1880.817,0.28212255,FILLED,,338728.1815,310995.7123,801010.SI,,农发种业,主板,种植业,33.87281815,31.099571230000002,2018,<50亿,<50亿
20180129,603508.SH,BUY,38.4576,100,3845.76,0.5768639999999999,FILLED,,614400.0,250368.0,801750.SI,,思维列控,主板,IT设备,61.44,25.0368,2018,50-100亿,<50亿
20180129,600854.SH,BUY,5.287920000000001,2100,11104.632,1.6656948,FILLED,,274274.1081,274274.1081,801110.SI,801111.SI,春兰股份,主板,家用电器,27.42741081,27.42741081,2018,<50亿,<50亿
20180129,600540.SH,BUY,4.416615,2500,11041.5375,1.6562306249999998,FILLED,,207677.181,207677.181,801010.SI,801016.SI,新赛股份,主板,种植业,20.7677181,20.7677181,2018,<50亿,<50亿
20180129,000428.SZ,BUY,4.126180000000001,2600,10728.068,1.6092102,FILLED,,419797.512,296113.361,801210.SI,801219.SI,华天酒店,主板,酒店餐饮,41.979751199999995,29.6113361,2018,<50亿,<50亿
20180129,600336.SH,BUY,4.877305000000001,2200,10730.071000000002,1.60951065,FILLED,,378278.842,355674.1312,801110.SI,801111.SI,澳柯玛,主板,家用电器,37.8278842,35.56741312,2018,<50亿,<50亿
20180129,600408.SH,BUY,3.054575,3400,10385.555,1.5578332499999998,FILLED,,307074.0,307074.0,801950.SI,801952.SI,安泰集团,主板,焦炭加工,30.7074,30.7074,2018,<50亿,<50亿
20180129,600235.SH,BUY,6.359525,1600,10175.24,1.5262859999999998,FILLED,,223075.5,223075.5,801140.SI,801143.SI,民丰特纸,主板,造纸,22.30755,22.30755,2018,<50亿,<50亿
20180129,600501.SH,BUY,11.03653,900,9932.877,1.48993155,FILLED,,464254.5272,448385.7272,801890.SI,801074.SI,航天晨光,主板,专用机械,46.42545272,44.83857272,2018,<50亿,<50亿
20180129,600186.SH,BUY,2.82423,3600,10167.228,1.5250841999999998,FILLED,,299490.8557,299490.8557,801120.SI,801129.SI,莲花控股,主板,食品,29.94908557,29.94908557,2018,<50亿,<50亿
20180129,600847.SH,BUY,12.63893,800,10111.144,1.5166716,FILLED,,193448.6988,193448.6988,801730.SI,801737.SI,万里股份,主板,电气设备,19.34486988,19.34486988,2018,<50亿,<50亿
20180129,000692.SZ,BUY,4.476705,2300,10296.4215,1.544463225,FILLED,,238176.3403,238155.2884,801160.SI,801161.SI,惠天热电,主板,供气供热,23.81763403,23.81552884,2018,<50亿,<50亿
20180129,603199.SH,BUY,26.990425,300,8097.1275,1.214569125,FILLED,,298282.6,196584.8885,801210.SI,801993.SI,九华旅游,主板,旅游景点,29.828259999999997,19.65848885,2018,<50亿,<50亿
20180129,600865.SH,BUY,7.51125,1300,9764.625,1.46469375,FILLED,,282180.237,282180.237,801200.SI,801203.SI,百大集团,主板,百货,28.218023700000003,28.218023700000003,2018,<50亿,<50亿
20180129,600610.SH,BUY,5.06759,2000,10135.18,1.520277,FILLED,,542064.9501,190040.7425,801720.SI,,中毅达,主板,化工原料,54.206495010000005,19.00407425,2018,50-100亿,<50亿
20180129,600218.SH,BUY,6.960425000000001,1400,9744.595,1.46168925,FILLED,,256284.725,256284.725,801890.SI,801072.SI,全柴动力,主板,汽车配件,25.6284725,25.6284725,2018,<50亿,<50亿
20180129,000948.SZ,BUY,10.065075000000002,1000,10065.075000000004,1.5097612500000002,FILLED,,247839.0762,247711.8201,801750.SI,801104.SI,南天信息,主板,软件服务,24.78390762,24.77118201,2018,<50亿,<50亿
20180129,600448.SH,BUY,5.08762,1900,9666.478,1.4499717,FILLED,,266623.6567,214560.9633,801130.SI,801131.SI,华纺股份,主板,纺织,26.66236567,21.45609633,2018,<50亿,<50亿
20180129,603100.SH,BUY,9.944895,1000,9944.895,1.49173425,FILLED,,392235.0,256814.77,801730.SI,,川仪股份,主板,电器仪表,39.2235,25.681476999999997,2018,<50亿,<50亿
20180212,600237.SH,SELL,4.183715,2500,10459.2875,1.568893125,FILLED,,236470.8477,236470.8477,801080.SI,801083.SI,铜峰电子,主板,元器件,23.647084770000003,23.647084770000003,2018,<50亿,<50亿
20180212,603020.SH,SELL,10.32449,100,1032.449,0.15486735,FILLED,,330880.0,200037.64,801120.SI,801124.SI,爱普股份,主板,食品,33.088,20.003764,2018,<50亿,<50亿
20180212,000737.SZ,SELL,4.21367,2800,11798.275999999998,1.7697413999999996,FILLED,,231576.72,231576.72,801030.SI,801034.SI,北方铜业,主板,铜,23.157672,23.157672,2018,<50亿,<50亿
20180212,600889.SH,SELL,6.270580000000001,1300,8151.754000000001,1.2227631,FILLED,,192839.5104,192839.5104,801030.SI,801032.SI,南京化纤,主板,化纤,19.28395104,19.28395104,2018,<50亿,<50亿
20180212,600613.SH,SELL,7.398885000000001,1400,10358.439,1.55376585,FILLED,,395747.0763,355176.1037,801150.SI,801155.SI,神奇制药,主板,中成药,39.57470763,35.51761037,2018,<50亿,<50亿
20180212,000859.SZ,SELL,3.564645,2800,9981.006,1.4971508999999998,FILLED,,263983.5536,263935.8941,801030.SI,801036.SI,国风新材,主板,塑料,26.39835536,26.393589409999997,2018,<50亿,<50亿
20180212,603117.SH,SELL,8.577115000000001,1600,13723.384000000002,2.0585076,FILLED,,397133.6806,242017.9508,801170.SI,801178.SI,万林物流,主板,仓储物流,39.71336806,24.20179508,2018,<50亿,<50亿
20180212,600313.SH,SELL,3.804285,4200,15977.997,2.39669955,FILLED,,412317.6906,378560.276,801010.SI,,农发种业,主板,种植业,41.23176906,37.856027600000004,2018,<50亿,<50亿
20180212,603508.SH,SELL,34.03886500000001,300,10211.659500000003,1.5317489250000005,FILLED,,545440.0,222266.8,801750.SI,,思维列控,主板,IT设备,54.544,22.226679999999998,2018,50-100亿,<50亿
20180212,600854.SH,SELL,4.5931,2100,9645.51,1.4468265,FILLED,,238950.9275,238950.9275,801110.SI,801111.SI,春兰股份,主板,家用电器,23.89509275,23.89509275,2018,<50亿,<50亿
20180212,600540.SH,SELL,3.83424,2500,9585.6,1.43784,FILLED,,180834.5522,180834.5522,801010.SI,801016.SI,新赛股份,主板,种植业,18.08345522,18.08345522,2018,<50亿,<50亿
20180212,000428.SZ,SELL,3.614570000000001,2600,9397.882,1.4096823,FILLED,,368851.212,260177.2735,801210.SI,801219.SI,华天酒店,主板,酒店餐饮,36.8851212,26.01772735,2018,<50亿,<50亿
20180212,600336.SH,SELL,4.21367,2200,9270.074,1.3905110999999997,FILLED,,327789.8795,308202.2246,801110.SI,801111.SI,澳柯玛,主板,家用电器,32.77898795,30.82022246,2018,<50亿,<50亿
20180212,600408.SH,SELL,2.546175,3400,8656.994999999999,1.2985492499999998,FILLED,,256734.0,256734.0,801950.SI,801952.SI,安泰集团,主板,焦炭加工,25.6734,25.6734,2018,<50亿,<50亿
20180212,600501.SH,SELL,8.327490000000001,900,7494.741000000001,1.12421115,FILLED,,351350.5224,339340.9224,801890.SI,801074.SI,航天晨光,主板,专用机械,35.13505224,33.93409224,2018,<50亿,<50亿
20180212,600186.SH,SELL,2.626055,3600,9453.798,1.4180697,FILLED,,279312.3938,279312.3938,801120.SI,801129.SI,莲花控股,主板,食品,27.93123938,27.93123938,2018,<50亿,<50亿
20180212,600847.SH,SELL,10.7838,800,8627.04,1.294056,FILLED,,165550.392,165550.392,801730.SI,801737.SI,万里股份,主板,电气设备,16.5550392,16.5550392,2018,<50亿,<50亿
20180212,000692.SZ,SELL,3.824255,2300,8795.7865,1.3193679749999998,FILLED,,204075.0298,204056.992,801160.SI,801161.SI,惠天热电,主板,供气供热,20.40750298,20.4056992,2018,<50亿,<50亿
