date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2019-03-11,0.01860722,12,0.02218940,-0.00358218,0.00012643,0.01848080,0.02832861,-0.00972139
2019-03-25,0.02248972,12,0.00529859,0.01719113,0.00345061,0.01903912,0.33471074,-0.31222102
2019-04-08,0.03070395,12,0.06630855,-0.03560460,0.08400163,-0.05329767,-0.03818369,0.06888765
2019-04-22,-0.01553859,10,-0.00917394,-0.00636464,-0.00779293,-0.00774565,-0.01287554,-0.00266305
2019-05-06,-0.04263265,9,-0.09597963,0.05334698,-0.08470617,0.04207352,-0.18913043,0.14649778
2019-05-20,0.00010395,1,-0.01233781,0.01244176,-0.01813605,0.01824000,0.00134048,-0.00123653
2019-06-03,-0.00153025,2,0.00678474,-0.00831498,0.00393066,-0.00546090,0.01070950,-0.01223975
2019-06-17,-0.00050817,3,-0.00085077,0.00034260,0.00628084,-0.00678902,-0.03973510,0.03922693
2019-07-01,0.01936777,5,0.05446720,-0.03509943,0.07688106,-0.05751329,0.07862069,-0.05925292
2019-07-15,-0.00291919,6,-0.03373425,0.03081506,-0.02836106,0.02544187,0.00895141,-0.01187060
2019-07-29,-0.00373375,3,-0.00040048,-0.00333327,0.00786640,-0.01160015,-0.03041825,0.02668450
2019-08-12,-0.00849220,3,-0.04284675,0.03435455,-0.04025813,0.03176592,-0.08496732,0.07647512
2019-08-26,0.00454921,5,0.01725506,-0.01270586,0.01805999,-0.01351079,0.02428571,-0.01973651
2019-09-09,0.00792248,4,0.05628347,-0.04836099,0.05497685,-0.04705437,0.05020921,-0.04228672
2019-09-23,-0.00407211,8,-0.01575743,0.01168532,-0.02071177,0.01663966,-0.00132802,-0.00274409
2019-09-30,-0.00327632,8,-0.02414701,0.02087069,-0.01956824,0.01629192,-0.03723404,0.03395772
2019-10-21,0.00457305,8,0.01185076,-0.00727771,0.01738396,-0.01281091,-0.00690608,0.01147913
2019-11-04,0.00700114,9,0.01220363,-0.00520249,0.02506720,-0.01806607,0.00556328,0.00143785
2019-11-18,0.00033485,3,-0.02227924,0.02261409,-0.01764463,0.01797948,-0.03181189,0.03214674
2019-12-02,-0.00435836,3,-0.01147841,0.00712006,-0.01839087,0.01403251,-0.02142857,0.01707021
2019-12-16,0.00441621,5,0.03775820,-0.03334199,0.03949040,-0.03507419,0.04525547,-0.04083927
2019-12-30,0.00386633,11,0.01864078,-0.01477445,0.02359521,-0.01972888,0.03631285,-0.03244652
