symbol,date,open,high,low,close,volume,factor
000001,2021-09-17,3595.2715,3620.9575,3569.2707,3613.9663,516850210.0,1.0
000001,2021-09-22,3563.2074,3629.4539,3560.5033,3628.4897,472296053.0,1.0
000001,2021-09-23,3651.2661,3670.9542,3632.2822,3642.2204,534995486.0,1.0
000001,2021-09-24,3637.8677,3651.4294,3607.7919,3613.0673,507304772.0,1.0
000001,2021-09-27,3625.9597,3640.8077,3559.9154,3582.8307,510802795.0,1.0
000001,2021-09-28,3577.8859,3610.917,3568.8189,3602.2184,444168807.0,1.0
000001,2021-09-29,3573.5178,3573.5178,3518.0477,3536.2944,452511151.0,1.0
000001,2021-09-30,3541.9283,3572.4259,3541.9283,3568.1668,395629626.0,1.0
000001,2021-10-08,3609.0874,3612.5539,3571.7338,3592.1666,407161148.0,1.0
000001,2021-10-11,3600.3569,3614.6988,3586.7487,3591.7087,394361159.0,1.0
000001,2021-10-12,3581.2967,3583.6391,3515.1408,3546.9362,405393748.0,1.0
000001,2021-10-13,3543.4918,3569.1332,3515.6481,3561.7623,325050667.0,1.0
000001,2021-10-14,3555.1085,3569.6864,3547.182,3558.2795,294969196.0,1.0
000001,2021-10-15,3551.9874,3578.7661,3542.6932,3572.3662,320292984.0,1.0
000001,2021-10-18,3571.0482,3571.0482,3539.4779,3568.1379,340950616.0,1.0
000001,2021-10-19,3562.2955,3596.7875,3560.6221,3593.1533,334197652.0,1.0
000001,2021-10-20,3583.2364,3596.0499,3574.2957,3587.0009,344245008.0,1.0
000001,2021-10-21,3590.0496,3610.9602,3576.3547,3594.7831,352310867.0,1.0
000001,2021-10-22,3594.7457,3607.5776,3578.7602,3582.6036,353157203.0,1.0
000001,2021-10-25,3574.2631,3611.0908,3564.2059,3609.8626,321196816.0,1.0
000001,2021-10-26,3612.8332,3625.0156,3589.706,3597.6377,337278291.0,1.0
000001,2021-10-27,3589.8573,3589.8573,3553.1277,3562.3052,350620940.0,1.0
000001,2021-10-28,3548.7021,3552.0419,3509.4872,3518.4166,378171666.0,1.0
000001,2021-10-29,3519.3276,3547.3361,3502.8013,3547.3361,358809377.0,1.0
000001,2021-11-01,3530.3963,3556.59,3519.2901,3544.4795,382251325.0,1.0
000001,2021-11-02,3543.3827,3559.0478,3477.664,3505.6283,417563173.0,1.0
000001,2021-11-03,3501.1051,3512.6089,3480.4877,3498.5368,306607669.0,1.0
000001,2021-11-04,3505.8944,3527.9517,3503.0059,3526.8657,319440829.0,1.0
000001,2021-11-05,3520.2073,3525.8723,3491.4565,3491.5677,354533565.0,1.0
